"Shot ID","Movement","Time In","Time Out","Duration","Shot / Visual","Audio / Lyric Purpose","Visual Direction","Asset Status","Asset / Character Match","Continuity / Story Note","Review Status","Owner","Director Notes"
"YS-OP-001","00","0","7","7","Extreme close-up behind Spock’s head aboard an unfamiliar ship.","Ship beeps, ventilation, distant relays; no music.","Back-of-head silhouette; patient camera.","FOUND","Spock; ship interior","Opening mystery","In Review","TBD","Keyframe exists on Opera page."
"YS-OP-002","00","7","14","7","Camera withdraws slightly; a handheld tablet enters frame.","Sparse electronic ambience.","Over-shoulder reveal.","FOUND","Tablet; Spock","Do not reveal screen fully yet","In Review","TBD","Keyframe exists on Opera page."
"YS-OP-003","00","14","21","7","Spock turns, troubled but controlled.","Radio carrier glitches and pops.","Restrained Filmation-style close-up.","FOUND","Spock close-up","Performance: analysis, not fear","In Review","TBD","Keyframe exists on Opera page."
"YS-OP-004","00","21","28","7","Hold on Spock as he studies the impossible reading; the audience sees his response before seeing the evidence.","Interference sharpens; Spock quietly says, ‘Unreal.’","Hold on eyes; nearly imperceptible push-in; withhold tablet screen.","FOUND","Spock close-up","Audience shares Spock’s discovery through his reaction first","In Review","TBD","Keyframe exists on Opera page."
"YS-OP-005","00","28","35","7","Spock’s point of view: tablet aerial survey reveals a Starfleet delta fossilized in stone.","After ‘Unreal,’ cut to the evidence; first musical entrance.","Drone-photograph realism; geological scale markings; subjective POV reveal.","FOUND","Fossilized delta; tablet UI","Reveal held to the final possible beat","In Review","TBD","Keyframe exists on Opera page."
"YS-OP-006","I","35","44","9","Exterior: survey vessel suspended above the archaeological world.","Opening musical phrase.","Wide cosmic establishing shot.","FOUND/ROUGH","Ship / planet assets","Use existing spacecraft material if suitable","In Review","TBD","Filmation-style rough exists on Opera page."
"YS-OP-007","I","44","53","9","Spock replays the drone pass; delta geometry aligns with Starfleet records.","Lead vocal begins.","Split-panel tablet overlays.","FOUND/ROUGH","Tablet; delta","Evidence becomes personal","In Review","TBD","Filmation-style rough exists on Opera page."
"YS-OP-008","I","53","62","9","Archive images of Starfleet insignia evolve backward through history.","Lyric-led montage.","Graphic motion-comic sequence.","FOUND/ROUGH","Insignia archive","Avoid exposition-heavy text","In Review","TBD","Filmation-style rough exists on Opera page."
"YS-OP-009","I","62","71","9","Spock isolates a mineral sample reading older than humanity.","Low instrumental pulse.","Hands, scanner, data glyphs.","FOUND/ROUGH","Scanner; stone sample","Scientific credibility","In Review","TBD","Filmation-style rough exists on Opera page."
"YS-OP-010","I","71","80","9","His reflection overlays the fossil image on the tablet glass.","Vocal phrase about distance/identity.","Double exposure; cold blue.","FOUND/ROUGH","Spock; delta","Identity and evidence merge","In Review","TBD","Filmation-style rough exists on Opera page."
"YS-OP-011","I","80","89","9","Starfield hold: Spock alone at the observation port.","Let phrase breathe.","Filmation-style silhouette; slow parallax.","FOUND/ROUGH","Spock-alone space assets","Long hold permitted","In Review","TBD","Filmation-style rough exists on Opera page."
"YS-OP-012","I","89","98","9","A corrupted coordinate resolves: Sarpeidon.","Musical turn.","Console insert; one readable reveal.","FOUND/ROUGH","Navigation display","First plot destination","In Review","TBD","Filmation-style rough exists on Opera page."
"YS-OP-013","ALT-A","98","106.57142857142857","8.571428571428571","Enterprise archive returns no authorized mission matching the fossil.","Vocal section continues.","Database denial; amber warning.","ARCHIVE","Starfleet archive UI","Alternative / non-canon — Contradiction escalates","Superseded","TBD","Preserved branch; excluded from the current canon path."
"YS-OP-014","ALT-A","106.57142857142857","115.14285714285714","8.571428571428571","Kirk’s familiar face appears in a record that omits Spock.","Emotional downbeat.","Filmation-style archive portrait.","ARCHIVE","Kirk; record UI","Alternative / non-canon — Familiarity destabilized","Superseded","TBD","Preserved branch; excluded from the current canon path."
"YS-OP-015","ALT-A","115.14285714285714","123.71428571428571","8.571428571428571","McCoy’s log references a mission Spock remembers differently.","Dialogue-like musical response.","Medical log waveform and portrait.","ARCHIVE","McCoy; log UI","Alternative / non-canon — No spoken exposition needed","Superseded","TBD","Preserved branch; excluded from the current canon path."
"YS-OP-016","ALT-A","123.71428571428571","132.28571428571428","8.571428571428571","Chapel passes Spock in a memory fragment without recognizing him.","Loneliness lyric emphasis.","Soft dissolve; corridor memory.","ARCHIVE","Chapel; Spock","Alternative / non-canon — Potential companion-song seed only","Superseded","TBD","Preserved branch; excluded from the current canon path."
"YS-OP-017","ALT-A","132.28571428571428","140.85714285714286","8.571428571428571","Replacement science officer occupies Spock’s station.","Rhythmic cut.","Wide bridge image; wrongness in composition.","ARCHIVE","Bridge assets","Alternative / non-canon — Existing bridge image may support","Superseded","TBD","Preserved branch; excluded from the current canon path."
"YS-OP-018","ALT-A","140.85714285714286","149.42857142857144","8.571428571428571","Spock reaches toward the console; image fractures before contact.","Glitch accent.","Panel tear / scan-line displacement.","ARCHIVE","Spock hand; console","Alternative / non-canon — Transition into fracture","Superseded","TBD","Preserved branch; excluded from the current canon path."
"YS-OP-019","ALT-A","149.42857142857144","158.00000000000003","8.571428571428571","Multiple Spock silhouettes fail to align.","Layered vocal phrase.","Blue, red, and green offsets.","ARCHIVE","Prime/Mirror/Borg silhouettes","Alternative / non-canon — Do not fully reveal Borg","Superseded","TBD","Preserved branch; excluded from the current canon path."
